filename,title,description,feature,topic,role,level
./metadata.md,,,,,,
././help/TOC.md,Campaign Standard Guide,,,,,
./help/campaign-standard-home.md,Adobe Campaign Standard product documentation,Browse Campaign Standard product documentation,Overview,,Business Practitioner,Beginner
./help/rn/using/documentation-updates.md,Documentation Updates,Learn about all the latest updates for Adobe Campaign Standard documentation.,Overview,,Business Practitioner,Beginner
./help/rn/using/release-notes.md,Latest Release,This page details content of the latest Campaign Standard release,Overview,,Business Practitioner,Beginner
./help/rn/using/early-release-notes.md,Early Release Notes,Early Release Notes,Overview,,Business Practitioner,Beginner
./help/rn/using/release-notes-2020.md,Release Notes 2020,This page lists all 2020 releases of Adobe Campaign Standard.,Overview,,Business Practitioner,Beginner
./help/rn/using/release-notes-2019.md,Release Notes 2019,This page lists all 2019 releases of Adobe Campaign Standard.,Overview,,Business Practitioner,Beginner
./help/rn/using/release-notes-2018.md,Release Notes 2018,This page lists all 2018 releases of Adobe Campaign Standard.,Overview,,Business Practitioner,Beginner
./help/rn/using/release-notes-2017.md,Release Notes 2017,This page lists all 2017 releases of Adobe Campaign Standard.,Overview,,Business Practitioner,Beginner
./help/rn/using/release-planning.md,Campaign Standard Release Planning,This page lists upcoming releases of Adobe Campaign Standard.,Overview,,Business Practitioner,Beginner
./help/rn/using/deprecated-features.md,Campaign Standard Deprecated and Removed Features,This page lists deprecated and removed features of Adobe Campaign Standard.,Overview,,Business Practitioner,Beginner
./help/start/using/about-campaign-standard.md,Get started with Campaign Standard,"Discover key capabilities, user interface and global guidelines.",Overview,,Business Practitioner,Beginner
./help/start/using/about-the-interface.md,About the interface,Campaign workspace is based on concepts which are common to all the Adobe Experience Cloud solutions..,Overview,,Business Practitioner,Beginner
./help/start/using/interface-description.md,Interface description,"""Learn how to navigate and use the Adobe Campaign workspace: home page, top bar, advanced menus and action bars.""",Overview,,Business Practitioner,Beginner
./help/start/using/customizing-lists.md,Customizing lists,"""Learn how to customize display and act on list screens in Adobe Campaign Standard:sorting, filtering, deleting or duplicating elements. Lists screens display elements of one or several given resources.""",Campaigns,,Business Practitioner,Intermediate
./help/start/using/accessibility.md,Accessibility in Adobe Campaign Standard,Learn about accessibility support in Adobe Campaign Standard Workspace.,Campaigns,,Business Practitioner,Intermediate
./help/start/using/programs-and-campaigns.md,Programs and campaigns,"In Adobe Campaign, programs and campaigns allow you to group and orchestrate the different marketing activities that are linked to them. Reports on programs and campaigns allow you to analyze their impact.",Campaigns,,Business Practitioner,Beginner
./help/start/using/marketing-activities.md,Marketing activities,"""Learn how to create and manage your marketing activities: campaigns, email, SMS and push notification deliveries, landing pages, workflows. You can easily design a new activity, edit an existing one, and consult their status and validity.""",Campaigns,,Business Practitioner,Beginner
./help/start/using/marketing-activity-templates.md,About templates,"""Adobe Campaign templates allow you to pre-configure parameters depending on your needs: templates may contain a full or partial configuration of the marketing activity, to simplify Adobe Campaign usage for non-technical end users.""",Campaigns,,Business Practitioner,Beginner
./help/start/using/timeline.md,Timeline,Learn how to visualize programs that are in progress and their content using the Adobe Campaign Standard interface.,Campaigns,,Business Practitioner,Beginner
./help/start/using/privacy.md,Privacy and consent in Adobe Campaign Standard,"This section provides an overview of privacy, personal data and consent management in Adobe Campaign Standard, as well as the tools available to handle these.",Privacy,,Business Practitioner,Intermediate
./help/start/using/privacy-management.md,Privacy management in Adobe Campaign Standard,Learn more about the Adobe Campaign Standard features to manage Privacy.,Privacy,,Business Practitioner,Intermediate
./help/start/using/privacy-requests.md,Privacy requests,Learn how to manage Privacy requests in Adobe Campaign Standard,Privacy,,Business Practitioner,Intermediate
./help/start/using/privacy-faq.md,Privacy FAQ,"Learn about privacy, personal data and consent management in Adobe Campaign Standard",Privacy,,Business Practitioner,Intermediate
./help/audiences/using/get-started-profiles-and-audiences.md,Get started with profiles and audiences,"Define targeted populations, select audiences, filter recipients, collect data and update profiles.",Profiles,,Business Practitioner,Beginner
./help/audiences/using/about-profiles.md,About profiles,"Contacts are stored as profiles in Campaign database, and updated through their entire life cycle.",Profiles,,Business Practitioner,Beginner
./help/audiences/using/creating-profiles.md,Creating profiles,"Learn how to create profiles and collect data on your contacts, using APIs, import capabilities, online acquisition, automatic or manual updates.",Profiles,,Business Practitioner,Beginner
./help/audiences/using/editing-profiles.md,Editing profiles,"Learn how to edit existing profiles and access contact information, prefered channels, tracking logs, subscriptions, etc.",Profiles,,Business Practitioner,Intermediate
./help/audiences/using/integrated-customer-profile.md,Integrated customer profile,"""Track every customer interaction in a single view: Adobe Campaign integrated customer profile is updated throughout the customer life cycle.""",Profiles,,Business Practitioner,Beginner
